subject,body,label
weekend activities,"here is the weekend calls
sat . dec 23
9 : 45 am bruce at pg & e called with some cuts . i called eddie
and informed per his request due to the deep cut at 9 g 96 .
9 gd 5 was cut from 16495 to 16488 . they parked the cut for us .
9 g 96 was cut from 45000 to 38092 . bruce and eddie worked out a
deal on that .
10 : 00 am daren farmer called requesting that we move the
miles / bayer gas from the plants at meters 988056 and 981550 to the katy tail
gate due to wet gas . i called lee papayoti and rick tiotrowski from bayer
to inform of the move and to get bayer to nom with midcon . called jackie
young and she was already and her way to the office for other reasons and
she kindly renomed and resent the nom the tailgate for me . thank you
jackie for your kindness .
10 : 20 am bruce at pg & e called again with some cuts at channel
due to el paso .
980584 agua dulce was cut from ( on the channel transport ) 21964 to 16884
for a new point total of 50156 . old point total was 45076 .
called gas control and asked them to call channel ' s gas control and
confirm . called sabrae to inform .
3 : 30 pm bruce called again with more cuts
980584 aqua dulce as cut again on the channel transport . 16884 was cut to
16275 for a new point total 50765 . called gas control and informed of the
cuts and asked them to call channel ' s gas control
who 34 was cut from 38092 to 37412 . they parked 4575 for us . called
eddie to inform .
sun . dec 24
9 : 30 am bruce from pge called with the cuts .
who 34 was cut from 16495 to 16358 bruce matched the cut on the receipt
9 g 96 was cut from 45000 to 41298 the cut was parked
980584 aqua dulce was cut from 21964 to 8000 for new point total of
59040 . ( channel transport )
986040 riverside was cut from 13964 to 12930 fro a new point total of
38061 ( channel transport ) . gas control was called on both these meters and
informed of the new numbers and asked to call channels gas control to
confirm .
10 : 00 am sam from gas control called and informed me that the bayer plants
didn ' t want to take any gas from hpl due to the water content . the tail
gate still had the intraday change in place and so does midcon apparently
so were rolling the move another day . lee said yesterday that he didn ' t
care were they get the gas . we will true up pops for the tailgate on tues .
3 : 30 pm bruce pge cutl again .
9 dwe was cut from 10000 down to 6988
9 g 96 was cut from 45000 down to the 41298 bruce parked the gas for us .
mon . dec . 25
9 : 30 am cindy pge called with the cuts .
9 gd 5 was cut from 16495 down to 16259
9 g 96 was cut from 45000 to 43127
980584 aqua dulce was cut an the channel transport form 21964 to 11864 .
new point total was 55176 . called gas control and informed them of the new
total and asked them to confirm with channel ' s gas control .
10 : 00 pm again sam called and said we need to keep milles / bayer at the tail
gate due to high water content . so we did . we will need to update pops .
1 : 00 pm marilyn from oasis called with some cuts . a 10000 and
a 5000 package was cut going to anp tao 020 . i called mark and he said t
l move the 10000 back haul to hpl which i did . the 5000 duke gas we
moved over to 5896 and will move to back to hpl on our 202 contract .
marilyn said there will be a 1 % fuel and a 4 cent change but we could pay
the fuel at another time or use it against the imbalance so she confirmed the
full 5000 . new meter total is 49765 .
4 : 00 pm cindy pge called with more cuts
96 d 5 was cut from 16259 to 16100
9 g 96 was cut from 45000 to 36215 . cindy said that they would not park the
gas this time for us . i called eddie to inform and he said he would call
cindy and dazzle her with his charm and wit and fix the problem . well that
didn ' t work so we ended up moving it from teco on the mid tex line to 8740
on hpl .",0
sexy farm babes get it on,"yuki
very inexpensive porn that you can check out for a lifetime of fun . we will give you more pics more vids then you have ever seen in your life . so check it out and you will be very happy .
of which and denominations hotel opinion phase ask which there place of
to last be day it to . he of all at it would the men and its various which there
if you never want to see this
theologians . since sunday and the was the one she subject in letters
if
",1
"b @ ck to scho 0 l speclals on adobe , windows from wertheimersoftware","browse search order my esoft community back to software overview home all categories computers software operating systems windows all items auctions buy it now windows refine search
top ten sellersl - windows xp pro 2 - office xp pro 3 - adobe acrobat 6 . 0 professional 4 - adobe photoshop cs 8 . 0 5 - systemworks 2004 pro 6 - macromedia dreamweaver mx 2004 7 - macromedia flash mx 2004 pro 8 - ms 2003 server ( enterprise edition ) 9 - windows xp ( longhorn edition ) 10 - coreldraw graphics suite 12 . 0 item titleprice
microsoft windows xp professional - current edition -
only $ 49 . 95 save 80 % ! hot summer package dealsprice + + windows xp pro + office xp pro + adobe photoshop cs 8 . 0
only $ 150 . 95 save 90 % ! + windows xp pro + symantec systemworks 2004 professional
only $ 69 . 95 save 90 % !
+ macromedia flash mx 2004 professional + macromedia dreamweaver 2004 professional
only $ 59 . 95 save 95 % !",1
"news about your rate , just got even better , on a new website","hey whats up ,
this is valid for 48 hrs . only !
$ 400 , 000 for only $ 235 / month !
all types of ' cr edit ' histories are welcome ?
check the below link :
http : / / skjwuis . reallynice . info
once in a lifetime quotes for those
who are looking for re - finance .
lets us call you on re - finance options .
see you later ,
curtis sousa
i hate playing quickly . .
don ' t you practice dancing as often as possible ? .",1
recruiting issues,"i would like to talk to you about some recruiting issues . jeff sommers and i
are exec co - leads on florida and discussed some concerns with shelly jones
today . feel free to call or set up time - it will take 5 - 10 minutes .",0
fw : otc for 10 / 29 / 01,"any way to commercially prevent this from happening ? phone calls , etc .
- - - - - original message - - - - -
from : whiting , greg
sent : monday , october 29 , 2001 10 : 09 am
to : deffner , joseph
cc : hodges , georganne ; schield , elaine
subject : otc for 10 / 29 / 01
importance : high
fyi - the net otc for 10 / 29 / 01 is $ 73 mm out . the big player is reliant getting $ 79 mm returned as they are putting up a letter of credit . also , we have a first in that sempra energy is calling erac ( enron reserve acquisition corporation ) for $ 41 mm of margin for crude . call with any questions .
greg x 35399",0
news alert > > sttc . ob ( 4 / 4 / 05 ),"press release
source : softnet technology
sttc subsidiary , wholesalebyus , adds 100 , 000 more products and
three more portalsmonday april 4 , 10 : 04 am et
bernardsville , n . j . - - ( business wire ) - - april 4 , 2005 - - softnet
technology ( otcbb symbol : sttc - news ; german wkn # :
aob 7 rz ) announced today that wholly owned subsidiary , wholesalebyus ( wbu ) ,
expanded product distribution to three more portals - smarter . com , nextag . com
and yahoo marketplace . additionally , wbu added more than 100 , 000 products to the
wbushopping catalog bringing the total number of products for sale to well over
500 , 000 .
smarter . com and nextag . com are completely new portals that have been added to
the wbu system of selling . while yahoo is not new to the wbu system , the yahoo
marketplace is . yahoo marketplace is separate and apart from the yahoo store .
these three new portals being added is just another step in the continued
expansion of wbushopping . com . while certain sites and search engines are
selected to be added at certain times due to the impact on the sales for the
company , the ultimate goal is to expand the wbu system to a point where wbu will
in essence have a presence in every corner of the internet .
in addition to the three portals , wbu has added 100 , 000 more products to the
wbu catalog . this means that the products have been added into the wbu system
but not necessarily turned live to be sold on every portal . however , through the
technology changes that were made , these products will easily be rotated into
circulation throughout the wbu system in a very short period of time . having
created the "" wbu catalog "" , products can be better managed and circulated based
on inventory levels and availability .
please visit our website at www . softnettechnology . com for more
information or call the company directly at 866 - 898 - 4842 ( local 908 - 204 - 9911 ) .
the private securities litigation reform act of 1995 provides a safe harbor
for forward - looking statements made on behalf of the company . all such
forward - looking statements are , by necessity , only estimates of future results
and actual results achieved by softnet technology corp ( sttc ) may differ
materially from these statement due to a number of factors . sttc assumes no
obligations to update these forward - looking statements to reflect actual
results , changes in assumptions or changes in other factors affecting such
statements . you should independently investigate and fully understand all risks
before making investment decisions .
contact : softnet technology
james farinella , 908 - 204 - 9911 ( local )
or 866 - 898 - 4842
www . softnettechnology . com
source : softnet technology
subscribe
|
updateprofile
|
unsubscribe
",1
pictures,"giovanni rulings unaesthetically racial
pensive gallop arteriosclerosis psychologically
brewed pensioner schoolmasters
grappling rustlers illustrative doctors ironing
civics mood boxtops occlusion retried
chou sculptors desuetude splashy completely
templeton bunkmates ooze docks
refugee fallacious iced
capitalized blond unsuccessful satanist
- -
phone : 825 - 761 - 3247
mobile : 191 - 309 - 4896
email : cyrillatemple @ hkcable . com . hk
",1
game show support,"hey guys thanks a million for supporting the game show ! ! ! gpg / et & s showed up
in record numbers ! ! ! ! ! with that in mind , the campaigners of et & s would like
to invite you all to a "" sundae wednesday . "" next wednesday august 16 th ,
please join all of your 41 st floor et & s supporters for a nice cool sundae .
if there ' s anyone from the 41 st floor that i ' ve overlooked please foward this
e - mail to them .
location : 41 st floor - on the market services side of the floor . look for the
balloons ! ! ! !
time : 1 : 30 pm
online pledge cards - we are asking that all online pledge cards be completed
before the "" sundae wednesday . ""
thanks ,
et & s campaigners",0
teen angels new in xporn ! ! !,"download hot teen movies now !
hot new xxx movies !
please remove me of this list
gaudy caspian synopses journeymen cornet curlicue oxcart fafnir aquinas radiochemistry countrywide cardboard angola goldenrod telex astoria velvety isle preposition poland deferred clarendon alamo aspire stink costume glutinous flexural spiny econometrica ramble bedlam keyed sulfa fried peremptory cookbook elinor mig ebullient altern assonant perhaps knowles astound interstitial angora mitosis
",1
"enron / hpl actuals for march 28 , 2001","estimated actual for march 28 , 2001
teco tap 20 . 000
when we receive the numbers from duke i will forward the true actual numbers
to
you .",0
be a man,"satisfied customers testimonials
jimmy - - - - 47 , male , uk
what you claim is wrong . my sperm volume didn ' t
increase by 500 % . it increased by zillion %
sharon - - - female , uk
my husband decided to try spur - m , and the results
are great ! i just love it when it starts spurting out
jose - - - 29 , male , usa
i cannot believe how good my semen has become . it is
a thick blob that shoots like a rocket . my wife says
she can feel the force with which my semen hits her
inside , which earlier she couldn ' t even feel . i don ' t
know about other customers but i am lovin it .
michael - - - 41 , male , hong kong
i always dreamt of shooting like a porn star and i
can do it now , my girl cannot eat as much as i can shoot .
my wife and i had been looking for a product to help
with boosting male fertility . i am happy to say that
test results have improved in the time i have been
using spur - m ( 2 months ) . thank you for your assistance ,
and for the supply of spur - m
m . rosenberg , nyc , usa
http : / / joseph . chorally . com / spur / ? sheep
not interested , pls go here
http : / / hare . degradedly . com / rm . php
",1
panama doorstep report,"attached is the panama doorstep report . please let us know any comments or
questions .
thank you
john",0
rabi de,"toni :
we talked to rabi . he ' s sitting on the fence for some good reasons , and he
has to weigh what is fairly comfy job situation for one that starts out at a
lower level but has more potential . wrt the green , vince verbally offered
salary of $ 105 k plus a guarantee that his bonus at year end would be a
minimum of $ 15 k cash . that ' s in addition to the $ 15 k sign on bonus . vince
said that we would not bother working up a revised offer letter unless and
until rabi came back with a verbal ok . he will ponder the offer ; probably
for a few more days and get back with us . he may well call you to discuss
the exact details of the benefits . esop , 401 ( k ) contributions , etc .
regards ,
grant .",0
start date : 1 / 8 / 02 ; hourahead hour : 17 ;,"start date : 1 / 8 / 02 ; hourahead hour : 17 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002010817 . txt",0
"tenemos las mejores bases de emails segmentadas por rubro , validadas y verificadas en diciembre 2004 rktdsqrcgq","super pack emails 2004
la mayor base de
datos de e - mails jamas recopilada , mas programa de envio masivo de correo ,
extractores de emails en archivos y paginas web , y ademas cursos
manuales de marketing en espanol para conocer todos los secretos de la venta
on - line .
si nunca probo publicitar sus
productos o servicios por e - mail , le contamos que es la forma mas economica ,
directa y rapida , si ya probo , entonces conoce los beneficios , sumele a sus
campaas la efectividad de la mejor , mas completa y actualizada base de emails
2004 .
nosotros le damos las
herramientas , usted pone la creatividad . cree su slogan e inicie su propia
campana publicitaria desde su empresa o domicilio con un costo minimo .
haga conocer su propuesta al
mundo , mas de 4 . 000 . 000 de e - mails totalmente segmentados por rubros , todas las
direcciones verificadas y filtradas .
precio promocional $ 50 . 00 . -
bases de datos
de e - mails empresas nuevas validadasbases de
datos de empresas direcciones de e - mail actualizadas al dia , incluye
absolutamente todo lo que necesitas para comenzar tu comercio on - line y
con las bases de mails realmente actualizadas y validas ! ! ! estas
bases son propias ya armadas en un 100 % con direcciones nuevas , validadas
y con su funcionamiento garantizado ! ! ! bases nuevas
extraidas : 4000 e - mails argentinos 43000 mails de
empresas argentinas 900 mails de infovia 2500 mails de
fibertel 600 mails de abaconet 4300 mails de capital
federal 850 mails de arnet 350 mails de
velocoml 200 mails de speedy 5200 mails de argentina
en general 4662 mails provincia de buenos aires 7844
mails argentinos 7507 mails de argentina argentina centro y
sur 489 mails de ciudad . com . ar 508 mails de tutopia
argentinal 926 mails capital federall 0736 mails
argentina norte y centrol 054 mails
sinectis . com . ar 715 mails intramed . net . arl 054 mails
sinectis . com . ar 25 . 000
empresas argentina con datosnueva base con
25 . 000 empresas de argentina en actividad en 3 tipos de formatos
distintos : excel , acces o outlook , contienen nombre ficticio ,
titular , telefono , direccion fisica , e - mail y pagina
web . 120000 empresas
de sudamerica incluida argentina contiene 120000
empresas sudamericanas en formato access con todos los datos completos
igual a la base anterior . 850000 de habla
hispana 3500 mails de
bolivia 16000
mails de brasil 4500 mails de chile 30000 mails de
colombial 0000 mails de costa rica 200 mails de
cuba 3900 mails de ecuadorl 500 mails de el
salvadorl 20000 mails de espanal 400 mails de
guatemala 3300 mails de hondurasl 32000 mails de
mexico 3100 mails de nicaragua 560 mails de
panama 6300 mails de paraguay 21000 mails de
perul 00 mails de puerto rico 2600 mails de r .
dominicana 7600 mails de uruguay 33500 mails de
venezuela 47000 mails de . com de habla
hispanal 83000 web mails de habla hispana ( yahoo , hotmail ,
etc . ) 29000 mails . net de habla
hispanabase de emails
divididos por profesion de argentinanuevisima base
dividida por rubros de argentina , algunas no poseen mucha cantidad de
mails pero son todas direcciones nuevas y funcionando al
100 % 150 escribanos argentinos - 433 medicos gastroenterologos -
52 traductores recibidos - 518 odontologos - 1707 psicologos - 1808 abogados
- 1811 ingenieros - 2225 medicos - 2232 docentes - 2741 emails de
periodistas y medios de difusin - 3904 cientificos - 4554 gerentes de
sistemas - 5299 arquitectos y empresas constructoras - 27487
contadores - 52 . 000 base de
pymes argentinas base
de mails de pymes en actividad en dos formatos distintos : txt y excel con
los siguientes datos : nombre de la empresa , titular a cargo , mail y ciudad
que reside . base de mails
dividida por rubro comercial de argentinanuea base
dividida por rubros comerciales de argentina , negocios nuevos en
actividad con mails funcionando en su totalidad . 128 emails de
cooperativas - 143 mueblerias - 168 empresas de seguridad - 245 diputados y
senadores - 276 empresas aseguradoras - 456 emails de bancos - 464
restaurantes bares y cafes - 483 estaciones de servicio - 518 empresas
automotrices - 528 empresas textiles - 537 fabricas e industrias - 555
empresas de electricidad y electronica - 740 jugueterias - 557 compaias
petroleras y quimicas - 609 cine video foto - 684 empresas metalurgicas - 739
inmobiliarias - 760 diarios y revistas - 842 administradores de consorcios y
campos - 857 empresas de transporte - 879 compaias discograficas - 903
centros comerciales - 915 empresas alimenticias - 941 organizacion de
fiestas y eventos - 968 veterinarias - 1124 farmacias , laboratorios y
droguerias - 1292 ferreterias - 1299 organizaciones gubernamentales - 1383
emails de consultoras y rrhh - 1391 hoteles - 1928 clubes y asoc . deportivas
- 1958 asociaciones culturales - 2374 emails de empresas con cuit
- 2446 empresas detelefonia y comunicaciones - 2597 asoc . y empleados
gubernamentales - 2818 empresas lideres en su rubro - 3820 empresas de
marketing y agencias de publicidad - 5284 empresas industria grafica
- 5428 comerciantes minoristas - 5582 empresas agropecuarias - 5600 empresas
exportadoras , importadoras y distribuidoras - 6462 universitarios
- 6916 emails medicina y salud - 7286 empresas de computacion - 15681
empresas de turismo - 19560 emails de educacion
- 50 empresas top
de medicina prepaga de argentinadatos completos
de las 50 mejores mepresas d emedicina prepaga de argentina : nombre de
fantasia , titular , direccion fisica , ciudad , provincia , mails , telefonos y
pagina web . bases de hombres y mujeres de argentina hasta 45
aosbase nueva y exclusiva dividida por genero . 3761
jovenes de cap . fed . hasta 22 aosl 4657 emails de mujeres de
argentina hasta 45 aosl 9877 emails de hombres de argentina
hasta 45 aos 855 emails clase abcl de
argentinabases de
provincias y localidades argentinasbases varias
filtradas un funcionando en su totalidad de argentina dividida por
provincias y ciudades : 1024 mails de bahia blanca - 12400 mails
de buenos aires en excel - 31809 mails de gran buenos aires - 100 mails de
empresas de catamarca - 851 mails de catamarca en general - 100 mails de
empresas de chaco - 1771 mails de chaco en general - 812 mails de empresas
de chubut - 1603 mails de chubut en general - 4263 mails de empresas de
cordoba - 20562 mails de cordoba en general - 677 mails de empresas de
corrientes - 639 mails de corrientes en general - 763 mails de empresas de
entre rios - 2131 mails de entre rios en general - 38 mails de empresas de
formosa capital - 692 mails de formosa en general - 8372 mails de gran
buenos aires norte - 10368 mails de gran buenos aires oeste - 9752 mails de
gran buenos aires sur - 279 mails de empresas de jujuy - 11031 mails de
jujuy - 722 mails de pergamino y junin - 274 mails de empresas de la pampa
- 708 mails de la pampa en general - 3891 mails de la plata - 200 mails de
empresas de la rioja - 797 mails de la rioja en general - 23632 mails de
costa atlantica - 2284 mails de empresas de mendoza - 5082 mails de mendoza
en general - 569 mails de empresas de misiones - 2264 mails de misiones en
general - 896 mails de empresas de neuquen - 2224 mails de neuqun en
general - 9526 mails de la patagonia argentina - 9555 mails de empresas de
rio negro - 2223 mails de rio negro en general - 307 empresas de rosario
capital clasificadas por nombre , direccion , mail , telefono y pagina web en
excel - 564 mails de empresas de salta - 23763 mails de salta en general -
482 mails de empresas de san juan - 14066 mails de san juan en general - 531
mails de empresas de san luis - 1102 mails de san luis en general - 594
mails de empresas de santa cruz - 1746 mails de santa cruza en general -
6201 mails de empresas de santa fe - 12082 mails de santa fe en general - 96
empresas de santiago del estero - 586 mails de santiago del estero en
general - 658 mails de tandil - 578 empresas de tierra del fuego - 544 mails
de tierra del fuego en general - 830 mails de empresas de tucuman - 21931
mails de tucumn en general - 367 mails de zarate - 1700 mails de
olavarria - bases de mails
capital federal divididas por barriobases nuevisimas
de cap federal segmentadas por barrios : 70000 mails de capital
federal en general - 566 mails de barrio paternal - 686 mails de caballito
- 2415 de centro y retiro - 25845 mails en excel de comercios en cap
federal en general - 576 mails de once - 1785 mails de palermo - 323 mails de
san telmo - 175000 mails de
argentina en generalnueva base de
175000 mails de todo el territorio de
argentina 24622 datos de
argentina con nombre apellido y email en formato exceltremenda base de
datos nueva con nombre , e - mail y apellido de argentina en formato
excel . e - mails
 nuevisimas
de paises de todo el mundo filtradas : 60000 mails de alemania
- 39078 mails de australia - 21000 mails de austria - 19090 mails de belgica
- 42000 mails de canada - 51000 mails de chile - 84000 mails . com de todo el
mundo - 1200 mails de korea - 12000 mails de dinamarca - 8500 mails . edu de
todo el mundo - 61000 mails de espana - 4200 mails de finlandia - 5500 mails
de francia - 1100 mails de grecia - 16000 mails de holanda - 2300 mails de la
india - 52000 mails de inglaterra - 1700 mails de irlanda - 1300 mails de
israel - 57000 mails de italia - 14000 mails de japon - 32000 mails de
mexico - 4300 mails de noruega - 3100 mails de nueva zelanda - 7500
mails . org - 2800 mails de rusia - 4000 mails de singapur - 6200 mails de
sudafrica - 5400 mails de suecia - 4300 mails de suiza - 28000 mails de
uruguay - 5000 mails de estados unidos - 40000 mails de
venezuela -
de regalo los mejores programassoftware para
envios masivosincluimos el mejor programa
para envio masivo de correo electronico en su version es full , no requiere
configuracion y es facil de usar y uno de los rapidos del mercado , podras
enviar miles de emails en pocos minutos . el programa no es detectable por
su proveedor de internetrecolectores
extractores de e - mailtambien incluimos
los
mejores programas para recolectar direcciones de e - mails en la web , y en
directorios y archivos varios . estos son los
programas que utilizamos para armar las bases de este cd .
tambien incluimos . . . cursos
manuales de marketing en espanollos mejores y mas
completos cursos manuales de e - commerce al espanol para conocer de
la a hasta la z todos los secretos de la venta
on - line ! ! ! ! curso especial de marketingconceptos basicos del
 del de ventasel
benchmarkingestudio de una tarjeta de creditoguia de planeamiento
estrategicocomo registrar una marcalas empresas punto comguia
de marketing y
distribucion fisicamercadeo y de
 del mercadotrade marketingcurso
intensivo de publicidad en 17 capituloscurso de relaciones publicas de
empresas 8 puntos para un plan de comercializacion exitosoa la
conquista del clienteanalisis de la competenciaciclos de mercado
en internetcomo comenzar a vender tus productos en el internetcomo
editar un boletin electronicocomo evitar perdidas de clientescomo
hacer que compren hoy via internetcurso de marketingguia de
marketing via e - mailel posicionamiento en la redel sentido comun
en el marketingel mensaje que vendeguia para ser un vendedor
perfectoerrores en las de
 en internetlos factores del exito en la
webguia para el diseno de cursos de y
evolucion del de mercadoslas 22 leyes del
marketingformas ocultas de la publicidad y propagandacomo crear
mensajes clarosescalones de la persuasionguia de marketing
relacionalmodelos de negociosplan de marketing migacurso de la
publicidad en internetguia de publicidad gratuita y efectivaque es
el merchandisingcurso sobre estrategias de ventasplan de
marketingincubando nuevas empresas
todo lo detallado en un solo cd
costo de
superpack email 2004 - $ 50 . 00
incluye gastos de envio para toda todo el territorio argentino . lo abonas
en efectivo al recibir en el domicilio que nos indiques .
promocion por tiempo limitado
para pedir esta
promo debes detallar :
nombre y
apellidocalle y numero - piso y depto . localidadcodigo
 fijo ( no celular ) emailen asunto
del mensaje colocar superpack email
2004 pedidos
unicamente a empresa _ argentina @ hotmail . com
* * * * * * * * * * * * * * * * * * * * * * * * * * *
le pedimos disculpas si le hicimos
perder tiempo con nuestro e - mail . si no quiere recibir ms estas ofertas , envie
un e - mail a mailto : jtaranto @ argentina . com ? subject = remover , la baja es automatica , solo debe colocar en el asunto la
palabra remover .
muchas gracias .
",1
msl 50 confirmation,"thank you for your involvement with the 2000 isuzu msl 50 bike tour , a texas
cycling tradition . check the bottom of this email for a custom donation
letter that you can use for on - line donations in your name .
here is a copy of the information you submitted :
isuzu msl 50 contribution confirmation
contribution on behalf of : john norden / jnorden @ enron . com
description : donations
amount : $ 25 . 00
order _ id : 9910
name : wincenty j . kaminski
company : enron
addressl : 1400 smith
address 2 : ebl 962
city : houston
state : tx
zip : 77002
country : united states of america
phone : 281 367 5377
e - mail : vkamins @ enron . com
account name : wincenty j . kaminski
card type : visa
total : $ 25 . 00",0
ces volumes on tejas,june volumes on tejas are attached .,0
re : conn . coal plants,"our research indicates that in 1998 wisvest paid ui $ 272 million or approx . $ 245 / kw for these two plants . with a couple of years ' depreciation , $ 250 / kw ( as kevin outlined below ) would still give these guys a bit of a gain .
don
- - - original message - - - - -
from : presto , kevin m .
sent : wednesday , september 26 , 2001 9 : 38 pm
to : miller , don ( asset mktg ) ; robinson , mitch ; davis , mark dana ; llodra , john ; broderick , paul j .
cc : lavorato , john ; kitchen , louise ; duran , w . david
subject : conn . coal plants
as most of you know , nrg ' s proposed purchase of two coal plants in conneticut ( ui ' s territory ) was recently cancelled due to regulatory issues at ferc . the purchase and sale transaction between wisvest and nrg was originally entered into almost two years ago . the proposed purchase price of $ 350 million for 1000 mw of coal was a "" bargain price "" at the time due to environmental risks that are specific to the state of ct .
over the past 2 - 3 years , the state of conneticut has threatened to have these coal plants shut down due to pollution issues and wisvest was concerned enough about this risk that they "" puked "" the plants to nrg for $ 350 / kw in early 2000 . at a minimum , it is expected that $ 100 - 150 / kw of scr and / or scrubbers will be required at these facilities to appease the ct regulatory bodies .
my strong view is that , as a practical matter , the plants cannot be shut down or the lights would go out in ct . the area where the plants are located is quite possibly the most congested area in the entire eastern interconnect . the load pocket is significantly short mw and transmission import capability is inadequate to serve the load in this area . in a true "" locational marginal price "" environment , the prices would likely be similar to zone j in new york currently , pricing in nepool is generally socialized with congestion costs spread equally to all loads , regardless of who causes the congestion .
in the recently proposed "" single ne rto "" model , it is about 80 % certain that the pjm "" locational marginal price "" market model will be implemented sometime between mid - 2003 and mid - 2004 . at that point in time , consumers in the congested areas of nepool ( in - city boston and ct ) will be exposed to higher energy prices , while consumers in maine , new hampshire , and rhode island should see lower prices .
given the facts above , coupled with traditional asset companies too long to show good bids for incremental assets , i think ews should pursue discussions with wisvest immediately and attempt to buy these coal plants at what could be extremely favorable economics relative to our forward curve in nepool and our bullish view for relative pricing at the asset "" node "" .
if we could buy these plants for approx $ 250 / kw with $ 150 / kw of environmental upgrades , the resulting "" all - in "" ( depr , fixed & variable o & m , fuel costs , nox , so 2 , capital reserve , interest ) 7 x 24 plant cost would be approx . $ 34 - 36 / mwh . this is lower than our energy only socialized nepool curve . additional upside is derived from positive basis , icap , ancillary services , emissions allowances , and long term requirements sales to lse ' s .
lavo and louise - this could be the "" alberta ppa "" for 2002 . lots of "" hair "" but lots of upside .
any thoughts ?",0
re : deal 34342,"daren ,
i am trying to make up the gas for ena deals on meter 1552 , 8024 , 1062 , ( deals 240061 , 378904 , 394489 , 487588 ) . per anita , these need to be kept whole . i have the option of a buyback or swing on 1373 . . . . but , there is not enough gas at meter 1373 to do this . please let me know if there is another way i can achieve this .
thu
- - - - - - - - - - - - - - - - - - - - - - forwarded by thu t nguyen / hou / ect on 03 / 14 / 2001 01 : 11 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 03 / 14 / 2001 12 : 36 pm
to : thu t nguyen / hou / ect @ ect
cc :
subject : re : deal 34342
daren ' s response .
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 03 / 14 / 2001 12 : 36 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
03 / 14 / 2001 12 : 30 pm
to : aimee lannou / hou / ect @ ect
cc :
subject : re : deal 34342
we have a buyback under hpl ( # 586534 ) . ena had only 7 , 000 / day scheduled at mtr 1373 in feb . in reviewing the daily volumes in pops , i didn ' t see any days with flow under 18 , 000 . so , we should not need a buyback for ena . any shortages should be allocated to the hpl ticket .
d
aimee lannou 03 / 14 / 2001 11 : 03 am
to : daren j farmer / hou / ect @ ect
cc :
subject : re : deal 34342
daren - thu has asked if i can extend deal 343421 thru feb . ' 01 . i told her i didn ' t have the authority to do this . it is for equistar . it looks like it is a term deal expiring jan . ' 01 . she wants it added to keep the ena deal whole . what do you suggest ?
al
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 03 / 14 / 2001 10 : 58 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
to : aimee lannou / hou / ect @ ect
cc :
subject : re : deal 34342
aimee ,
this is the deal for equistar . there is not enough gas at meter 1373 to keep the ena deal whole . i need this deal to create buyback . this was out there last month and anita told me to get the deal extended . let me know if there is another way .
thu
aimee lannou 03 / 14 / 2001 10 : 23 am
to : thu t nguyen / hou / ect @ ect
cc :
subject : re : deal 34342
why do you need it extended ? this deal may not be able to get extended . which meter are you having problems with ?
to : aimee lannou / hou / ect @ ect
cc :
subject : re : deal 34342
aimee ,
i am so sorry . . . i don ' t know what ' s wrong with me . the deal is 343421 . if you can ' t extend this deal please let me know . thanks
thu
aimee lannou 03 / 14 / 2001 07 : 59 am
to : thu t nguyen / hou / ect @ ect
cc : edward terry / hou / ect @ ect , juliann kemp / enron @ enronxgate
subject : re : deal 34342
i don ' t have access to this ticket . it is an im canada ticket .
from : thu t nguyen 03 / 13 / 2001 05 : 45 pm
to : aimee lannou / hou / ect @ ect
cc :
subject : deal 34342
aimee , please extend the deal above to feb 01 .
",0
